created_at,entry_id,field1,field2,field3,field4,field5
2026-03-09 22:07:18 UTC,1,0,0,5555,30.60000,32.50000
2026-03-09 22:08:05 UTC,2,67,97,4801,30.70000,32.40000
2026-03-09 22:08:27 UTC,3,67,97,6279,30.70000,32.50000
2026-03-09 22:08:48 UTC,4,74,97,5235,30.70000,32.80000
2026-03-09 22:09:09 UTC,5,97,97,1793,30.70000,32.80000
2026-03-09 22:09:31 UTC,6,98,97,4427,30.60000,32.30000
2026-03-09 22:09:52 UTC,7,99,97,5453,30.70000,32.20000
2026-03-09 22:10:13 UTC,8,102,97,3897,30.70000,32.30000
2026-03-09 22:10:34 UTC,9,125,97,3450,30.60000,32.50000
2026-03-09 22:10:55 UTC,10,88,97,1486,30.60000,32.60000
2026-03-09 22:11:17 UTC,11,107,97,4057,30.60000,32.20000
2026-03-09 22:11:38 UTC,12,108,97,4086,30.60000,32.50000
2026-03-09 22:11:59 UTC,13,95,97,2772,30.60000,32.40000
2026-03-09 22:12:20 UTC,14,92,97,1090,30.60000,32.20000
2026-03-09 22:12:42 UTC,15,90,97,3117,30.60000,32.30000
2026-03-09 22:13:03 UTC,16,97,97,3634,30.60000,32.70000
2026-03-09 22:13:24 UTC,17,0,0,1815,30.60000,32.40000
2026-03-09 22:13:46 UTC,18,0,0,4015,30.60000,32.30000
2026-03-09 22:14:07 UTC,19,0,0,3846,30.60000,32.10000
2026-03-09 22:14:28 UTC,20,0,0,3539,30.60000,31.80000
2026-03-09 22:14:50 UTC,21,0,0,2091,30.60000,32.00000
2026-03-09 22:15:11 UTC,22,0,0,2599,30.50000,31.40000
2026-03-09 22:15:32 UTC,23,0,0,4341,30.40000,31.70000
2026-03-09 22:15:53 UTC,24,0,0,4018,30.40000,32.40000
2026-03-09 22:16:15 UTC,25,0,0,4355,30.30000,32.20000
2026-03-09 22:16:36 UTC,26,0,0,8007,30.30000,32.20000
2026-03-09 22:16:57 UTC,27,0,0,6061,30.30000,32.00000
2026-03-09 22:17:13 UTC,28,0,0,6061,30.3,32
2026-03-09 22:17:40 UTC,29,0,0,5557,30.20000,32.20000
2026-03-09 22:18:01 UTC,30,0,0,4329,30.10000,32.40000
2026-03-09 22:18:22 UTC,31,0,0,5990,30.20000,32.60000
2026-03-09 22:18:44 UTC,32,0,0,5632,30.20000,32.00000
2026-03-09 22:19:05 UTC,33,0,0,1700,30.20000,32.60000
2026-03-09 22:19:26 UTC,34,0,0,3712,30.20000,32.60000
2026-03-09 22:19:48 UTC,35,0,0,886,30.20000,32.30000
2026-03-09 22:20:09 UTC,36,0,0,2697,30.20000,32.10000
2026-03-09 22:20:30 UTC,37,0,0,2374,30.20000,32.60000
2026-03-09 22:20:51 UTC,38,0,0,3895,30.20000,32.90000
2026-03-09 22:21:13 UTC,39,0,0,5462,30.20000,33.40000
2026-03-09 22:21:34 UTC,40,0,0,4154,30.20000,33.00000
2026-03-09 22:21:55 UTC,41,0,0,4557,30.20000,33.00000
2026-03-09 22:22:16 UTC,42,0,0,3021,30.20000,32.80000
2026-03-09 22:22:38 UTC,43,0,0,2898,30.20000,32.20000
2026-03-09 22:22:59 UTC,44,0,0,1988,30.30000,32.60000
2026-03-09 22:23:20 UTC,45,0,0,714,30.30000,32.60000
2026-03-09 22:23:41 UTC,46,0,0,2313,30.20000,32.60000
2026-03-09 22:24:03 UTC,47,0,0,4398,30.30000,32.50000
2026-03-09 22:24:24 UTC,48,0,0,1106,30.20000,32.10000
2026-03-09 22:24:45 UTC,49,0,0,3241,30.20000,31.80000
2026-03-09 22:25:06 UTC,50,0,0,3794,30.20000,32.00000
2026-03-09 22:25:28 UTC,51,0,0,5320,30.10000,32.70000
2026-03-09 22:25:49 UTC,52,0,0,7781,30.10000,32.40000
2026-03-09 22:26:10 UTC,53,0,0,2815,30.10000,32.40000
2026-03-09 22:26:31 UTC,54,0,0,1035,30.10000,32.60000
2026-03-09 22:26:52 UTC,55,0,0,3513,30.10000,32.80000
2026-03-09 22:27:14 UTC,56,0,0,3892,30.10000,32.40000
2026-03-09 22:27:35 UTC,57,0,0,2733,30.10000,33.00000
2026-03-09 22:27:56 UTC,58,0,0,4383,30.10000,32.80000
2026-03-09 22:28:18 UTC,59,0,0,4510,30.10000,33.00000
2026-03-09 22:28:34 UTC,60,1,,,,
2026-03-09 22:29:00 UTC,61,0,0,2658,30.10000,32.80000
2026-03-09 22:29:21 UTC,62,0,0,3152,30.10000,33.20000
2026-03-09 22:29:43 UTC,63,0,0,2500,30.20000,33.20000
2026-03-09 22:30:04 UTC,64,0,0,3456,30.20000,33.10000
2026-03-09 22:30:25 UTC,65,0,0,3173,30.20000,33.20000
2026-03-09 22:30:47 UTC,66,0,0,1200,30.20000,32.90000
2026-03-09 22:31:08 UTC,67,0,0,4780,30.20000,33.00000
2026-03-09 22:31:29 UTC,68,0,0,2991,30.20000,33.10000
2026-03-09 22:31:50 UTC,69,0,0,7365,30.30000,33.00000
2026-03-09 22:32:12 UTC,70,0,0,4693,30.20000,32.70000
2026-03-09 22:32:33 UTC,71,0,0,3929,30.30000,33.20000
2026-03-09 22:32:54 UTC,72,85,97,6107,30.20000,33.00000
2026-03-09 22:33:15 UTC,73,82,97,4610,30.30000,32.70000
2026-03-09 22:33:37 UTC,74,72,97,5390,30.20000,33.00000
2026-03-09 22:33:58 UTC,75,0,0,2161,30.20000,33.00000
